protein_IDs	previous_values	modified_values	flex_Mass
prot_P00127	4.07824685915291e-06	1.24227158811766e-05	0.000143998999908639
prot_P00128	4.07824685915291e-06	1.24227158811766e-05	0.000121534354186308
prot_P00163	4.07824685915291e-06	1.24227158811766e-05	0.000364281883946266
prot_P00401	2.70332861358755e-06	3.94075525208608e-06	7.27576546484491e-05
prot_P00410	2.70332861358755e-06	3.94075525208608e-06	3.53494430393236e-05
prot_P00420	2.70332861358755e-06	3.94075525208608e-06	3.75675426630986e-05
prot_P00425	2.98170384461935e-06	3.94075525208608e-06	1.64923275285016e-05
prot_P00427	2.98170384461935e-06	3.94075525208608e-06	1.66312844869294e-05
prot_P00931	2.88670694859446e-06	3.55904972061519e-05	0.00250593316109178
prot_P00958	1.34818235031801e-06	3.45589837683285e-06	0.000180582828158032
prot_P04037	2.98170384461935e-06	3.94075525208608e-06	1.64404428473576e-05
prot_P04039	5.96348213133799e-06	7.88160889023228e-06	1.70839110656976e-05
prot_P05694	1.57072599376865e-05	1.75122643614371e-05	0.000154975730418448
prot_P06197	2.15991370605274e-07	5.88025907649746e-07	9.23515468617902e-06
prot_P07143	4.07824685915291e-06	1.24227158811766e-05	0.000284164467303871
prot_P07170	2.67884974599156e-06	3.58494417570074e-06	2.19769579548242e-05
prot_P07255	2.70332861358755e-06	3.94075525208608e-06	8.61636254932825e-06
prot_P07256	4.07824685915291e-06	1.24227158811766e-05	0.000419119648241751
prot_P07257	4.07824685915291e-06	1.24227158811766e-05	0.000337764413064628
prot_P07283	5.8613379950227e-06	2.71817920291966e-05	0.000619624842550017
prot_P08067	4.07824685915291e-06	1.24227158811766e-05	0.00019496676636109
prot_P08524	3.87553570695735e-06	4.17479516480827e-06	1.21148877136384e-05
prot_P08525	4.07824685915291e-06	1.24227158811766e-05	9.15752905012265e-05
prot_P10174	2.98170384461935e-06	3.94075525208608e-06	6.64843207198159e-06
prot_P10614	3.37023410654266e-07	3.3765539131982e-07	3.83736069003582e-08
prot_P16451	3.02297793730838e-07	9.35890995635335e-07	2.87405796298904e-05
prot_P20051	2.10437775498463e-07	1.2015122283e-06	3.99530357546204e-05
prot_P22289	4.07824685915291e-06	1.24227158811766e-05	6.23850861918342e-05
prot_P24521	1.68529022878789e-07	2.02595685761892e-06	9.37153512222775e-05
prot_P25340	1.84533810811386e-07	1.66221889906753e-06	8.28078321154266e-05
prot_P28240	3.07694325273879e-06	3.07694325273879e-06	0
prot_P28272	2.61652772332894e-07	3.505528044e-07	3.0937611209497e-06
prot_P28777	2.3380063231377e-06	8.48997573245705e-06	0.000251233696099925
prot_P32476	2.74162549380297e-06	1.51058208212333e-05	0.000681580842176871
prot_P32799	2.98170384461935e-06	3.94075525208608e-06	1.44058824200155e-05
prot_P32895	1.42671261866616e-06	1.2567673157472e-05	0.000524150441613278
prot_P33330	5.49131415927876e-06	0.000110130956481993	0.00454293111783704
prot_P36148	1.47583007062712e-06	2.35523921320023e-05	0.00184657350242101
prot_P37291	8.18596999242236e-06	3.48060713126235e-05	0.00139004658733117
prot_P37292	2.87172242530689e-06	1.61802812753265e-05	0.000714481826480678
prot_P37299	4.07824685915291e-06	1.24227158811766e-05	7.17027706358966e-05
prot_P38063	4.97637453599622e-07	4.97637453599622e-07	0
prot_P38088	4.41464663532917e-06	1.11175868267171e-05	0.000524058386041752
prot_P38604	2.6010836800986e-08	0.0005927846457974	0.049471285946217
prot_P38625	3.03272706336811e-06	3.0958941552e-06	3.69410880765067e-06
prot_P38689	1.31924712462708e-06	1.2567673157472e-05	0.000395084316733148
prot_P38972	1.55254243077809e-06	5.33668713760088e-05	0.00771533907524248
prot_P39708	3.21903624568794e-06	3.21903624568794e-06	0
prot_P39714	8.24725052433174e-07	8.24725052433174e-07	0
prot_P40989	2.6019451915712e-07	1.77074065856726e-06	0.000327769932534486
prot_P46655	4.25955304574642e-06	6.06789739715251e-06	0.000146189938971605
prot_P48445	4.30454163127817e-08	2.99665636853283e-05	0.00228502059976412
prot_P49089	1.36249539782898e-06	1.67189423880289e-06	1.99468597399008e-05
prot_P49367	4.18910701412404e-06	6.39867088633106e-06	0.000166048481944332
prot_P53315	1.79454816844593e-06	1.79454816844593e-06	0
prot_P54839	1.88696824959155e-06	1.65981708843272e-05	0.000809304889640265
prot_Q01519	2.98170384461935e-06	3.94075525208608e-06	9.38698418497468e-06
prot_Q07500	6.52642222165194e-07	1.9970944499553e-06	8.28969614652851e-05
prot_Q08548	5.14263921990687e-08	6.40629113461928e-08	9.1269963755201e-07
prot_Q12122	8.43899056657272e-06	1.29634849236572e-05	0.000219862011929744
prot_Q12265	9.47512383357773e-07	9.47512383357773e-07	0
prot_Q12452	1.20446807975829e-07	3.1453170664272e-06	0.000120160581369477
