Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0001	s_0025[c] + 2 s_0709[m]  -> 2 s_0710[m] + s_1399[c] 	(RHTO_06352 and RHTO_05208) or (RHTO_05208 and RHTO_02645)	  0.00	   Inf	  0.00
r_0002	s_0027[m] + 2 s_0709[m]  -> 2 s_0710[m] + s_1401[m] 	RHTO_02645 and RHTO_05208	  0.00	   Inf	  0.00
r_0003	s_0035[c] + s_1198[c]  -> s_0020[c] + s_0794[c] + s_1203[c] 	RHTO_04102	  0.00	   Inf	  0.00
r_0004	s_0063[c] + 2 s_0709[m]  -> 2 s_0710[m] + s_1399[c] 	RHTO_05208 and RHTO_00251	  0.00	   Inf	  0.00
r_0006	s_1543[c]  -> s_0004[ce] + s_0794[c] + s_1538[c] 	RHTO_00515 or RHTO_07323	  0.00	   Inf	  0.00
r_0014	s_0142[c] + s_0794[c] + s_0803[c]  -> s_0313[c] + s_0419[c] 	RHTO_05066	  0.00	   Inf	  0.00
r_0015	s_0141[c] + s_0794[c] + s_1212[c]  -> s_0142[c] + s_1207[c] 	RHTO_04544	  0.00	   Inf	  0.00
r_0017	s_0148[m] + s_0437[m]  -> s_0006[m] + s_0424[m] + s_0799[m] 	RHTO_00942	  0.00	   Inf	  0.00
r_0018	s_0176[c] + s_0991[c]  -> s_0180[c] + s_0953[c] 	RHTO_07353	  0.00	   Inf	  0.00
r_0019	s_0149[c] + s_0794[c] + s_1212[c]  -> s_0030[c] + s_1207[c] 	RHTO_01031	  0.00	   Inf	  0.00
r_0024	s_0232[c] + s_0373[c] + s_0803[c]  -> s_0162[c] + s_0529[c] + s_0794[c] 	RHTO_03109	  0.00	   Inf	  0.00
r_0025	s_0233[m] + s_0376[m] + s_0807[m]  -> s_0164[m] + s_0532[m] + s_0799[m] 	RHTO_03109	  0.00	   Inf	  0.00
r_0028	s_0807[m] + s_1273[m] + s_1382[m]  -> s_0174[m] + s_0532[m] + s_0799[m] 	RHTO_06406 or RHTO_06409	  0.00	   Inf	  0.00
r_0032	s_0390[c] + s_0803[c]  -> s_0423[c] + s_1322[c] 	RHTO_03653	  0.00	   Inf	  0.00
r_0041	s_0231[er] + 2 s_0795[er] + s_1213[er]  -> s_1208[er] + s_1445[er] 	RHTO_07838	  0.00	   Inf	  0.00
r_0057	s_0054[p] + s_1202[p]  -> s_0257[p] + s_0801[p] + s_1206[p] 	RHTO_03342 or RHTO_03348 or RHTO_06581	  0.00	   Inf	  0.00
r_0059	s_0009[c] + s_1416[c]  -> s_0217[c] + s_1413[c] 	RHTO_02367	  0.00	   Inf	  0.00
r_0062	s_0232[c] + s_0794[c]  -> s_0456[c] + s_0937[c] 	RHTO_00098	  0.00	   Inf	  0.00
r_0064	s_0056[c] + s_0794[c]  -> s_0166[c] + s_0456[c] 	RHTO_00098	  0.00	   Inf	  0.00
r_0066	s_0515[c] + s_0999[c]  -> s_0269[c] + s_0991[c] 	RHTO_01811	  0.00	   Inf	  0.00
r_0067	s_0269[c]  -> s_0271[c] + s_0794[c] + s_1399[c] 	RHTO_04877	  0.00	   Inf	  0.00
r_0068	s_0180[c] + s_0734[c]  -> s_0991[c] + s_1461[c] 	RHTO_00202	  0.00	   Inf	  0.00
r_0069	s_0264[c] + s_0803[c]  -> s_0285[c] + s_1322[c] 	RHTO_03928	  0.00	   Inf	  0.00
r_0072	s_0291[c] + s_0794[c]  -> s_0234[c] + s_0456[c] 	RHTO_00098	  0.00	   Inf	  0.00
r_0076	s_0526[c] + s_0803[c]  -> s_0543[c] + s_1322[c] 	RHTO_07849	  0.00	   Inf	  0.00
r_0078	s_0803[c] + s_1545[c]  -> s_1322[c] + s_1556[c] 	RHTO_07849	  0.00	   Inf	  0.00
r_0079	s_0301[c] + s_0434[c] + s_0803[c] + s_0999[c]  -> s_0302[c] + s_0394[c] + s_0794[c] + s_0991[c] + s_1322[c] 	RHTO_02389	  0.00	   Inf	  0.00
r_0085	s_0323[c] + s_1012[c]  -> s_1029[c] + s_1486[c] 	RHTO_07691	  0.00	   Inf	  0.00
r_0090	s_0434[c] + s_0557[c]  -> s_0394[c] + s_0442[c] + s_0794[c] 	RHTO_02818	  0.00	   Inf	  0.00
r_0095	2 s_0359[c]  -> s_0020[c] 	RHTO_00098	  0.00	   Inf	  0.00
r_0096	s_0146[m] + s_0799[m] + s_1214[m]  -> s_0016[m] + s_1210[m] 	RHTO_04566	  0.00	   Inf	  0.00
r_0099	s_0376[m] + s_1845[m]  -> s_0372[m] + s_0532[m] 	RHTO_01048	  0.00	   Inf	  0.00
r_0100	s_0250[p] + s_0534[p]  -> s_0378[p] + s_1305[p] 	RHTO_00300 or RHTO_02848 or RHTO_07118	  0.00	   Inf	  0.00
r_0101	s_0243[p] + s_0534[p]  -> s_0378[p] + s_1482[p] 	RHTO_00300 or RHTO_02848 or RHTO_07118	  0.00	   Inf	  0.00
r_0102	s_0253[p] + s_0534[p]  -> s_0378[p] + s_1179[p] 	RHTO_00300 or RHTO_02848 or RHTO_07118	  0.00	   Inf	  0.00
r_0103	2 s_0373[c]  -> s_0367[c] + s_0529[c] 	RHTO_00476 or RHTO_02048 or RHTO_02848 or RHTO_07118	  0.00	   Inf	  0.00
r_0104	2 s_0376[m]  -> s_0370[m] + s_0532[m] 	RHTO_00476 or RHTO_02048 or RHTO_02848 or RHTO_07118	  0.00	   Inf	  0.00
r_0105	s_0257[p] + s_0534[p]  -> s_0378[p] + s_1076[p] 	RHTO_00300 or RHTO_02848 or RHTO_07118	  0.00	   Inf	  0.00
