uniprotID_S288c	GeneName_S288C	Standard _A	Standard _B	Standard _C	High_temperature_A	High_temperature_B	High_temperature_C	Low_pH_A	Low_pH_B	Low_pH_C	Osmotic_stress _A	Osmotic_stress _B	Osmotic_stress _C
P06105	YJL080C	1.58127E-06	1.72502E-06	1.22189E-06	1.55117E-06	1.6116E-06	2.01047E-06	1.79091E-06	1.72854E-06	1.63944E-06	2.38667E-06	1.75179E-06	1.72828E-06
P16521	YLR249W	7.90636E-06	7.27216E-06	6.9762E-06	4.75422E-06	5.47944E-06	5.27799E-06	5.74695E-06	6.0588E-06	6.90525E-06	1.15806E-05	1.26388E-05	1.11692E-05
P53978	YNL014W	1.30222E-06	1.5855E-06	1.47134E-06	2.05882E-06	1.84931E-06	2.5423E-06	1.23404E-06	1.35878E-06	1.39442E-06	1.32266E-06	9.69953E-07	1.06989E-06
P19414	YLR304C	6.1306E-06	6.7648E-06	5.66552E-06	6.0435E-06	5.92263E-06	6.60756E-06	6.10335E-06	6.54885E-06	6.10335E-06	8.99411E-06	9.46439E-06	9.87588E-06
P39533	YJL200C	2.27044E-06	2.85813E-06	2.47761E-06	2.03465E-06	2.25221E-06	2.20789E-06	2.36561E-06	2.74428E-06	2.84675E-06	2.16917E-06	3.56825E-06	2.66884E-06
P54115	YPL061W	1.80113E-05	1.77576E-05	1.66583E-05	1.43432E-05	1.78485E-05	1.45447E-05	1.81319E-05	2.03594E-05	1.99584E-05	4.87328E-05	6.37118E-05	5.49052E-05
P02829	YPL240C	0.000006342	1.38256E-05	1.0274E-05	1.56325E-05	1.62772E-05	1.96615E-05	1.29195E-05	1.20731E-05	1.20731E-05	2.22795E-05	1.63422E-05	1.16394E-05
P00924	YGR254W	1.81804E-05	2.01253E-05	2.08018E-05	1.30943E-05	2.03062E-05	1.5149E-05	0.000023166	2.60172E-05	2.38343E-05	3.89157E-05	3.92096E-05	3.3625E-05
P38689	YHL011C	8.92108E-07	8.37144E-07	8.16004E-07	9.83076E-07	1.02337E-06	1.21676E-06	9.0882E-07	1.53698E-06	8.33085E-07	1.74004E-06	1.82234E-06	1.86936E-06
P38063	YBL068W	0	5.79236E-07	2.80739E-07	6.52698E-08	3.52538E-07	2.28041E-07	1.70181E-07	3.43926E-07	3.76448E-07	2.58654E-07	2.70999E-07	4.17961E-07
P38620	YER099C	0	3.91936E-07	1.5855E-07	6.76872E-08	1.99436E-07	8.38032E-08	6.237E-08	1.94238E-07	2.12504E-07	2.6806E-07	9.93467E-08	2.36316E-07
P14540	YKL060C	2.8835E-05	3.28938E-05	3.46696E-05	1.87349E-05	2.65914E-05	2.17163E-05	3.64865E-05	0.00003564	3.43035E-05	6.18318E-05	5.59045E-05	6.03328E-05
P31539	YLL026W	7.94864E-06	8.75196E-06	0.000007399	8.38032E-06	1.02337E-05	9.50844E-06	8.24175E-06	9.22185E-06	9.7119E-06	6.93663E-06	7.70084E-06	6.11364E-06
P32589	YPL106C	6.80708E-06	6.84936E-06	0.000006342	6.12408E-06	7.05075E-06	6.08379E-06	6.8607E-06	6.45975E-06	6.37065E-06	1.46963E-05	1.69301E-05	1.65186E-05
P32590	YBR169C	3.12449E-06	3.28516E-06	3.15409E-06	2.94923E-06	4.35132E-06	3.05398E-06	1.86665E-06	3.50609E-06	2.91803E-06	4.13259E-06	3.18615E-06	3.24493E-06
P06168	YLR355C	2.49875E-05	2.98074E-05	2.36768E-05	1.52296E-05	1.5834E-05	1.64383E-05	2.36115E-05	2.65518E-05	2.39679E-05	2.20444E-05	2.92749E-05	2.86871E-05
P38009	YMR120C	8.32916E-06	8.07548E-06	7.35672E-06	4.59306E-06	6.24495E-06	5.15712E-06	7.3953E-06	8.68725E-06	9.84555E-06	1.24036E-05	1.59307E-05	1.3403E-05
P54113	YLR028C	3.73332E-06	4.17304E-06	3.10335E-06	2.75584E-06	3.26752E-06	3.40451E-06	3.26552E-06	4.45055E-06	4.39263E-06	3.34487E-06	4.90267E-06	5.4141E-06
P0CS90	YJR045C	7.94864E-06	9.25932E-06	1.1331E-05	8.09829E-06	1.10798E-05	9.10554E-06	7.9299E-06	1.05138E-05	7.9299E-06	1.3403E-05	1.36969E-05	1.79882E-05
P07262	YOR375C	1.32759E-05	1.33182E-05	1.23035E-05	8.21916E-06	9.6696E-06	1.10395E-05	2.61509E-05	2.61063E-05	2.41461E-05	3.39189E-05	3.70346E-05	3.23905E-05
P39708	YAL062W	2.1901E-06	2.29158E-06	1.88992E-06	2.05479E-06	1.91378E-06	2.8203E-06	0.000006237	0.000006237	7.52895E-06	6.05486E-06	7.64205E-06	4.99673E-06
P47169	YJR137C	3.67836E-06	4.48168E-06	3.69527E-06	2.55036E-06	2.89282E-06	2.10717E-06	3.3858E-06	3.80903E-06	4.16988E-06	4.79098E-06	4.08556E-06	4.42651E-06
P19358	YDR502C	1.53476E-05	1.38256E-05	1.31914E-05	1.0556E-05	1.05157E-05	1.35777E-05	1.37214E-05	1.55925E-05	1.17167E-05	1.87524E-05	1.55192E-05	1.41672E-05
P10659	YLR180W	1.05277E-05	9.89352E-06	7.35672E-06	5.68089E-06	6.68814E-06	9.38757E-06	8.5536E-06	9.8901E-06	0.00000891	1.42848E-05	9.99345E-06	9.87588E-06
P07251	YBL099W	1.38256E-05	1.67852E-05	1.27686E-05	1.00322E-05	1.27719E-05	1.12409E-05	1.35878E-05	1.71518E-05	1.25631E-05	2.16329E-05	2.16329E-05	2.46309E-05
P07245	YGR204W	4.90448E-06	4.90448E-06	4.09693E-06	4.79451E-06	4.4319E-06	4.4319E-06	4.16988E-06	3.3858E-06	3.98277E-06	5.93729E-06	6.23121E-06	5.40822E-06
