genes	REF	EtOG_20	EtOH_40	EtOH_60	Osm_02	Osm_04	Osm_06	HiT_33	HiT_36	HiT_38
YAR002C-A	6.32032E-06	6.20771E-06	6.3572E-06	7.56506E-06	6.56342E-06	6.1674E-06	6.05698E-06	6.29913E-06	5.89163E-06	6.11125E-06
YAR002W	5.21714E-06	5.0595E-06	5.46535E-06	8.15276E-06	6.68266E-06	5.95129E-06	4.98133E-06	5.11263E-06	5.80164E-06	4.86583E-06
YAR007C	7.002E-05	7.45567E-05	6.87829E-05	7.27955E-05	6.85522E-05	6.73767E-05	7.26066E-05	6.01505E-05	6.22001E-05	5.84551E-05
YAR015W	0.000810119	0.001239899	0.001163045	0.000807037	0.000840559	0.000889136	0.000929057	0.000927112	0.000878396	0.000760216
YAR042W	9.42034E-06	7.64581E-06	7.05997E-06	9.06575E-06	7.88803E-06	7.14268E-06	7.81307E-06	9.02651E-06	1.1154E-05	1.01685E-05
YBL004W	3.85571E-06	2.2926E-06	3.42682E-06	3.23271E-06	0	3.1961E-06	3.19476E-06	1.10759E-05	0	5.47846E-06
YBL007C	7.52537E-06	7.84257E-06	6.52715E-06	8.8269E-06	6.97114E-06	6.54469E-06	7.00738E-06	6.97187E-06	8.75534E-06	7.18043E-06
YBL015W	0.00054164	0.001382147	0.001719995	0.00084418	0.00064943	0.000637575	0.000664832	0.000741666	0.000721189	0.000213083
YBL022C	2.19479E-05	2.38512E-05	3.16369E-05	3.12169E-05	2.23962E-05	2.07224E-05	2.16705E-05	1.93134E-05	2.15337E-05	3.2275E-05
YBL024W	9.1094E-05	7.68622E-05	6.28735E-05	6.43363E-05	9.66782E-05	9.51488E-05	9.38067E-05	8.58294E-05	8.38015E-05	6.37353E-05
YBL026W	9.3391E-05	9.56266E-05	9.89157E-05	9.8735E-05	9.46266E-05	9.34534E-05	8.94704E-05	0.000103856	9.94711E-05	8.95734E-05
YBL033C	2.05102E-05	2.12679E-05	1.47387E-05	1.29488E-05	2.293E-05	2.42976E-05	0	0	0	1.69341E-05
YBL036C	4.79461E-05	3.26844E-05	4.89985E-05	5.61618E-05	4.88298E-05	4.79443E-05	5.11582E-05	5.98321E-05	6.3649E-05	5.97002E-05
YBL037W	2.7191E-06	3.50054E-06	4.10236E-06	3.51547E-06	3.36682E-06	3.34978E-06	3.26017E-06	3.33786E-06	4.09013E-06	5.64845E-06
YBL039C	4.43225E-05	3.15266E-05	2.74237E-05	2.74168E-05	4.7289E-05	4.79263E-05	5.36611E-05	5.45074E-05	5.07495E-05	4.56438E-05
YBL041W	0.000100693	0.0001011	9.26599E-05	9.2265E-05	9.3677E-05	9.04218E-05	8.94022E-05	9.65863E-05	9.85607E-05	7.03746E-05
YBL045C	0.001638818	0.0022765	0.002814902	0.002473193	0.001799563	0.001761797	0.002133366	0.001707379	0.001692854	0.000999497
YBL047C	1.38425E-05	1.11961E-05	1.5517E-05	2.18099E-05	1.34247E-05	1.26891E-05	1.41436E-05	1.46977E-05	1.69465E-05	1.75036E-05
YBL050W	1.75182E-05	1.68949E-05	1.47608E-05	1.51579E-05	1.84663E-05	1.79266E-05	1.96389E-05	1.89704E-05	2.32747E-05	1.68043E-05
YBL055C	4.80481E-06	3.81284E-06	3.44414E-06	2.98072E-06	5.13688E-06	4.59973E-06	4.45964E-06	4.11262E-06	3.66815E-06	4.68745E-06
YBL056W	4.64275E-05	4.91087E-05	5.58169E-05	5.87853E-05	4.40107E-05	4.39071E-05	4.2334E-05	4.45896E-05	5.36817E-05	4.67948E-05
YBL059C-A	8.28431E-06	9.71334E-06	1.61141E-05	1.44584E-05	7.79884E-06	8.32757E-06	6.70273E-06	7.74198E-06	7.80992E-06	6.80423E-06
YBL059W	8.89223E-06	2.60358E-06	6.91891E-06	1.1331E-05	5.2225E-06	0	0	0	0	8.23002E-06
YBL064C	0.000189235	0.000371216	0.000278352	0.000381019	0.000226701	0.00023135	0.000278775	0.000206011	0.000217395	0.000136086
YBL068W	9.00023E-05	8.31798E-05	9.52402E-05	8.35012E-05	9.18096E-05	8.45625E-05	8.31579E-05	0.000120285	0.000106918	0.000103005
YBL076C	0.000187765	0.000150142	0.000170639	0.000221232	0.000192404	0.000198576	0.000217761	0.0001811	0.000175903	0.000249994
YBL078C	4.00023E-06	2.7564E-06	2.66759E-06	3.22574E-06	3.0288E-06	2.8272E-06	1.88106E-06	3.3344E-06	3.57604E-06	2.41009E-06
YBL079W	1.04648E-05	1.52851E-05	1.15577E-05	1.20061E-05	1.4527E-05	1.14969E-05	7.52766E-06	1.09612E-05	8.8873E-06	8.95621E-06
YBL090W	3.73581E-06	3.27281E-06	5.64497E-06	4.7566E-06	3.6149E-06	3.46328E-06	3.92545E-06	3.00759E-06	2.77718E-06	3.0047E-06
YBL091C	1.45361E-05	1.47583E-05	1.67537E-05	1.83223E-05	1.43047E-05	1.33013E-05	1.23638E-05	1.30202E-05	1.44303E-05	1.32944E-05
YBL092W	0.000697942	0.000889256	0.000799804	0.000695581	0.000862865	0.000832769	0.000878368	0.000845548	0.000889084	0.000760907
YBL095W	1.53454E-05	4.06465E-05	2.3207E-05	1.34696E-05	1.34921E-05	1.285E-05	9.05236E-06	1.63924E-05	2.59033E-05	8.11692E-06
YBL098W	3.91099E-05	3.87242E-05	4.27627E-05	4.1331E-05	3.91882E-05	3.57169E-05	3.26727E-05	3.86711E-05	4.20088E-05	3.87693E-05
YBL099W	0.002770742	0.003974845	0.004309568	0.003643564	0.003008161	0.003209605	0.003621011	0.002393686	0.002467332	0.00137035
YBL105C	4.26792E-06	4.33135E-06	3.25246E-06	4.52956E-06	0	3.39757E-06	3.46231E-06	4.00887E-06	4.33712E-06	3.3994E-06
YBR002C	8.13619E-06	6.86639E-06	8.53324E-06	9.41934E-06	0	0	0	6.67099E-06	7.13719E-06	8.77815E-06
YBR003W	4.90069E-06	3.83174E-06	5.4561E-06	4.83559E-06	6.23003E-06	5.72351E-06	5.72729E-06	3.75068E-06	2.98134E-06	5.94592E-06
YBR006W	6.60211E-06	7.75977E-06	5.17021E-06	3.93505E-06	6.14358E-06	5.50082E-06	5.05058E-06	6.37573E-06	7.40377E-06	4.71084E-06
YBR011C	0.002340245	0.00251214	0.002527897	0.002453537	0.002430819	0.002481479	0.002458453	0.00255839	0.002554168	0.002804617
YBR017C	3.15375E-06	2.92926E-06	3.49433E-06	6.60833E-06	3.12647E-06	3.51647E-06	3.49704E-06	3.31837E-06	4.19789E-06	5.21886E-06
YBR025C	0.000280489	0.000272316	0.000344592	0.000450994	0.000323846	0.000331909	0.000363843	0.00034502	0.000399942	0.000342552
YBR026C	0.00029364	0.000338941	0.000189687	9.93125E-05	0.000259925	0.000236273	0.000127554	0.000355013	0.000388484	6.00089E-05
YBR029C	2.13712E-05	2.42093E-05	2.25791E-05	1.93676E-05	1.77272E-05	2.12802E-05	2.49856E-05	1.93229E-05	4.23028E-05	3.34008E-05
YBR034C	2.78078E-05	2.23542E-05	2.13393E-05	1.79144E-05	3.12338E-05	2.87605E-05	2.87423E-05	2.64525E-05	2.41185E-05	1.83339E-05
YBR035C	0.000494803	0.000512649	0.00056369	0.000495312	0.000522105	0.000509812	0.000508753	0.00050295	0.000544092	0.000540063
YBR037C	2.94603E-05	3.19162E-05	5.02683E-05	5.4722E-05	2.73057E-05	2.56044E-05	2.38062E-05	2.8783E-05	3.6312E-05	5.25396E-05
YBR039W	8.86542E-05	0.000127379	0.000140618	0.000110464	9.92358E-05	0.000101326	9.88158E-05	8.22501E-05	8.5373E-05	3.42636E-05
YBR044C	5.50553E-07	0	2.37762E-06	2.15653E-06	0	0	0	0	2.25738E-06	4.06974E-06
YBR046C	0.000115744	0.000111114	6.98187E-05	3.19049E-05	0.000125341	0.000120314	9.5278E-05	0.000109056	0.000109174	1.85718E-05
YBR052C	0.000124822	0.000202475	0.000204832	0.000220411	0.000116081	0.000116087	0.000108387	0.000150237	0.000175001	0.000158285
YBR053C	2.42309E-05	2.62914E-05	1.78453E-05	1.88305E-05	2.39794E-05	2.30349E-05	2.49387E-05	2.48897E-05	2.86997E-05	1.44675E-05
YBR056W	9.16167E-05	6.81324E-05	4.53382E-05	4.53133E-05	7.38062E-05	7.15501E-05	5.30113E-05	8.26088E-05	8.27592E-05	3.67292E-05
YBR061C	4.11506E-05	3.33333E-05	3.26903E-05	2.93378E-05	3.94607E-05	4.35948E-05	4.58299E-05	4.10416E-05	4.16019E-05	3.34915E-05
YBR072W	0.011647854	0.003062089	0.000628912	0.000482117	0.011914695	0.009839884	0.004309964	0.015285692	0.012368309	0.000830939
YBR079C	8.97349E-05	7.19887E-05	8.55331E-05	0.00010863	9.57401E-05	9.66975E-05	0.000107535	8.67238E-05	8.49569E-05	0.000100258
YBR080C	1.23691E-05	1.24219E-05	1.47065E-05	1.71269E-05	1.416E-05	1.39664E-05	1.44499E-05	1.3284E-05	1.45329E-05	1.67964E-05
YBR082C	1.09062E-05	1.20089E-05	1.54979E-05	2.22872E-05	1.10019E-05	1.07706E-05	1.3003E-05	1.65159E-05	1.92792E-05	2.28572E-05
YBR084W	1.19907E-05	1.18225E-05	1.30975E-05	1.26745E-05	1.20669E-05	1.2883E-05	1.42675E-05	1.18471E-05	1.10019E-05	1.22119E-05
YBR085C-A	9.50392E-05	9.99798E-05	7.98969E-05	5.71588E-05	0.000113072	8.72557E-05	0.000105719	9.8677E-05	0.000110312	0.000195126
YBR087W	6.39983E-05	5.98276E-05	6.43677E-05	7.72016E-05	5.82838E-05	5.59709E-05	5.81363E-05	5.95382E-05	6.13017E-05	5.8848E-05
YBR088C	0.000439057	0.000495616	0.000356338	0.000386057	0.000476611	0.000466347	0.00045827	0.000429267	0.000441016	0.000386772
YBR094W	1.18904E-05	9.01095E-06	1.15227E-05	1.0404E-05	8.98563E-06	8.91379E-06	1.06115E-05	1.11421E-05	1.09046E-05	1.26576E-05
YBR095C	1.88523E-05	2.21698E-05	2.21288E-05	2.41516E-05	1.738E-05	1.55531E-05	1.66426E-05	2.25557E-05	2.01624E-05	1.45844E-05
YBR096W	9.14469E-06	8.15664E-06	1.1509E-05	1.2932E-05	8.86123E-06	1.00564E-05	1.18983E-05	9.0724E-06	1.09682E-05	1.60001E-05
YBR101C	0.000248476	0.000135173	0.00011634	8.84323E-05	0.000218691	0.000202732	0.000164087	0.000245418	0.000243982	0.000194454
YBR102C	3.35706E-06	0	3.20981E-06	5.0601E-06	0	0	3.33125E-06	3.11135E-06	4.74368E-06	4.5282E-06
YBR103W	9.82156E-06	1.27773E-05	0	8.08244E-06	7.65929E-06	5.86049E-06	0	8.33622E-06	1.15743E-05	8.81441E-06
YBR104W	1.84299E-05	2.50176E-05	2.06571E-05	9.31603E-06	1.62075E-05	2.12739E-05	2.6836E-05	2.85986E-05	1.37914E-05	1.08993E-05
YBR106W	0.00012496	0.00012769	0.00010167	9.25824E-05	0.0001275	0.000129061	0.000130544	0.000116123	0.000111257	8.89723E-05
YBR109C	0.000292641	0.00029352	0.000173445	0.000244779	0.000318645	0.000229602	0.000213563	0.00027384	0.000317234	0.000230556
YBR110W	5.85771E-06	0	6.12618E-06	6.93089E-06	5.18071E-06	7.87863E-06	8.19806E-06	0	0	9.49619E-06
YBR111C	2.57973E-05	2.40473E-05	2.13321E-05	2.05287E-05	2.18847E-05	2.2741E-05	1.9679E-05	2.47353E-05	2.71967E-05	2.21767E-05
YBR115C	2.42679E-05	1.89701E-05	3.43211E-05	2.08207E-05	1.88409E-05	1.71485E-05	1.90407E-05	2.24222E-05	1.52555E-05	2.38336E-05
YBR120C	3.24933E-05	3.12585E-05	4.19538E-05	3.40083E-05	3.28686E-05	3.13053E-05	2.82677E-05	3.15201E-05	3.43013E-05	2.80215E-05
YBR122C	1.06126E-05	9.39753E-06	1.57508E-05	1.424E-05	1.05912E-05	1.16493E-05	1.06131E-05	8.31197E-06	7.80405E-06	8.52645E-06
YBR123C	0	0	0	0	0	0	0	0	0	4.79386E-07
YBR126C	0.000339883	0.000312771	0.000251346	0.000403813	0.000360441	0.000366434	0.000341378	0.000363362	0.000444812	0.000427017
YBR127C	0.000239278	0.000314896	0.000268619	0.000337828	0.000264677	0.000250733	0.000256333	0.000256819	0.000258877	0.000286266
YBR142W	8.30385E-06	5.56031E-06	5.79246E-06	8.00248E-06	8.14049E-06	7.37688E-06	8.52549E-06	7.93993E-06	7.50103E-06	8.31155E-06
YBR143C	0.000231829	0.000226815	0.000202598	0.000208103	0.000268338	0.000268707	0.00027852	0.000250155	0.00024961	0.000216989
YBR145W	5.55755E-05	2.89209E-05	3.34093E-05	1.66375E-05	5.18225E-05	4.76428E-05	4.45287E-05	4.53455E-05	4.56738E-05	4.10206E-05
YBR146W	3.68974E-05	3.83767E-05	6.9539E-05	6.4936E-05	4.39059E-05	4.10514E-05	4.3492E-05	3.70496E-05	3.13406E-05	2.91085E-05
YBR149W	0.000309509	0.000224939	0.000155786	0.000161125	0.000267766	0.000247975	0.00020295	0.000305698	0.000377551	0.000159345
YBR151W	1.51606E-05	1.55682E-05	1.92168E-05	1.79256E-05	1.43938E-05	1.23553E-05	1.09124E-05	1.62108E-05	2.03387E-05	2.01922E-05
YBR154C	0.000190119	0.000174523	0.000179411	0.000174464	0.000204884	0.000208929	0.000219438	0.000217645	0.000216627	0.000197796
YBR155W	8.78788E-06	6.68806E-06	6.92139E-06	6.83188E-06	8.22281E-06	8.63538E-06	8.65213E-06	9.26341E-06	8.83493E-06	7.44158E-06
YBR159W	4.6371E-05	6.031E-05	5.35958E-05	6.5323E-05	4.59556E-05	4.7116E-05	4.67184E-05	4.45744E-05	4.59497E-05	4.73543E-05
YBR160W	0.00016493	0.000146983	0.000141369	0.000162986	0.00017877	0.000183509	0.000205784	0.000192258	0.000226233	0.000196477
YBR162C	2.21648E-05	2.40644E-05	2.94296E-05	2.45092E-05	2.39903E-05	2.30692E-05	2.39307E-05	2.09276E-05	2.16501E-05	1.71869E-05
YBR164C	8.4634E-05	0	7.34248E-05	0.000117092	0.000107245	9.0777E-05	9.59927E-05	0.000117744	0.000103205	0.000127993
YBR166C	1.45947E-05	1.33307E-05	1.53555E-05	1.45062E-05	1.53132E-05	1.50283E-05	1.89588E-05	1.53302E-05	1.18508E-05	1.07766E-05
YBR169C	0.000107263	4.25444E-05	2.21304E-05	3.37699E-05	0.000105335	9.02374E-05	7.40931E-05	0.000124506	0.000131873	5.88879E-05
YBR170C	2.65268E-05	2.40934E-05	2.46442E-05	2.93486E-05	2.8618E-05	2.71807E-05	2.98399E-05	2.61743E-05	2.63308E-05	2.62294E-05
YBR171W	2.03192E-05	1.78341E-05	1.71058E-05	1.99484E-05	2.06099E-05	2.00962E-05	1.93361E-05	1.89117E-05	1.65189E-05	1.55494E-05
YBR176W	1.9783E-05	2.33712E-05	2.7202E-05	2.88338E-05	1.72435E-05	2.03599E-05	2.09172E-05	1.991E-05	2.07633E-05	2.18537E-05
YBR177C	9.2698E-05	0.000157184	0.000171753	0.000174846	0.000101296	9.14962E-05	7.81269E-05	7.96899E-05	7.58721E-05	0.000116836
YBR189W	0.002852956	0.002874633	0.002826684	0.002821345	0.003125457	0.003042937	0.003070026	0.003219465	0.003115033	0.002735691
YBR192W	2.30833E-06	2.46745E-06	3.63051E-06	4.75443E-06	2.72636E-06	2.65117E-06	2.61442E-06	1.91121E-06	2.20724E-06	3.62634E-06
YBR196C	0.001292216	0.001050807	0.000990068	0.00127322	0.001370714	0.001403013	0.001591285	0.00153007	0.001552789	0.00180694
YBR202W	2.75396E-05	0	3.16466E-05	3.71046E-05	2.42153E-05	0	1.82575E-05	1.83467E-05	2.39365E-05	2.54794E-05
YBR213W	3.61599E-05	4.41285E-05	3.61726E-05	3.38447E-05	4.60326E-05	4.57114E-05	6.55026E-05	6.99262E-05	8.05561E-05	5.39419E-05
YBR214W	7.75177E-05	6.48858E-05	6.14091E-05	3.57654E-05	9.38108E-05	6.61071E-05	5.51401E-05	0.00011118	0.000123219	5.01077E-05
YBR218C	9.00763E-05	7.11458E-05	6.06889E-05	6.67696E-05	7.88326E-05	7.94428E-05	7.56737E-05	8.43144E-05	8.32719E-05	6.3834E-05
YBR221C	0.001693752	0.002178306	0.00250983	0.00207685	0.001772998	0.00167873	0.001649003	0.001848208	0.001985226	0.001431512
YBR222C	2.53325E-05	2.97896E-05	1.95461E-05	1.30685E-05	3.87463E-05	4.29184E-05	6.86025E-05	2.32678E-05	2.25363E-05	1.43446E-05
YBR227C	7.80188E-06	9.96959E-06	7.36191E-06	7.19784E-06	7.59877E-06	7.40733E-06	7.40758E-06	6.88153E-06	7.40358E-06	5.96491E-06
YBR245C	1.63098E-05	1.60002E-05	1.61023E-05	2.46638E-05	1.79578E-05	1.54902E-05	1.19658E-05	1.23979E-05	1.54183E-05	2.01705E-05
YBR247C	8.94332E-06	6.96603E-06	7.22179E-06	8.18978E-06	9.61354E-06	9.7061E-06	9.95635E-06	1.08925E-05	1.00951E-05	9.51658E-06
YBR248C	0.000246107	0.000198617	0.000220564	0.000174576	0.000244112	0.000246156	0.000241217	0.00022611	0.000229067	0.000218666
YBR249C	0.000102774	6.88077E-05	6.89651E-05	4.81634E-05	9.62235E-05	0.000104507	0.000103233	9.21827E-05	8.09312E-05	5.80382E-05
YBR251W	2.84925E-06	2.52691E-06	4.63825E-06	4.47736E-06	3.65024E-06	3.34161E-06	2.98089E-06	2.31077E-06	2.29415E-06	1.89827E-06
YBR252W	0.000149015	0.000146154	0.000122653	0.000119667	0.000146159	0.000139507	0.000141316	0.000134657	0.000152003	0.000146396
YBR253W	0	0	0	0	0	0	0	3.48672E-05	0	2.53453E-05
YBR256C	7.47175E-05	4.92232E-05	5.76815E-05	4.04128E-05	6.0907E-05	5.85039E-05	4.35445E-05	6.69153E-05	7.07316E-05	4.91813E-05
YBR260C	1.39422E-06	1.37527E-06	1.14301E-06	1.72431E-06	1.4401E-06	1.21788E-06	1.62425E-06	1.4232E-06	1.4442E-06	1.63481E-06
YBR263W	6.19625E-05	6.70342E-05	5.49642E-05	4.70846E-05	6.63971E-05	6.31396E-05	5.96788E-05	6.31468E-05	5.83993E-05	4.30838E-05
YBR268W	1.28787E-05	1.00288E-05	1.94029E-05	1.78756E-05	1.24326E-05	1.21598E-05	0	0	0	1.30291E-05
YBR273C	2.88323E-05	2.54925E-05	2.35979E-05	2.57023E-05	3.05911E-05	2.74709E-05	2.70718E-05	2.90974E-05	3.31758E-05	2.24144E-05
YBR279W	1.76022E-05	1.77094E-05	1.83909E-05	1.87955E-05	1.92199E-05	1.89123E-05	1.95373E-05	1.82247E-05	2.16383E-05	1.72405E-05
YBR280C	4.85662E-06	4.80287E-06	3.09762E-06	3.2958E-06	0	4.32482E-06	4.09429E-06	5.47657E-06	5.23842E-06	2.4904E-06
YBR281C	2.972E-06	3.14891E-06	3.09032E-06	3.52366E-06	2.8899E-06	2.76596E-06	3.37055E-06	2.31104E-06	3.2552E-06	2.48776E-06
YBR283C	1.51951E-05	2.06594E-05	9.5914E-06	1.26582E-05	1.57749E-05	2.1073E-05	2.636E-05	1.25451E-05	1.07627E-05	5.31113E-05
YBR286W	6.42957E-05	5.08125E-05	4.52053E-05	5.06613E-05	6.19587E-05	5.83872E-05	5.15088E-05	5.19329E-05	4.54397E-05	3.10643E-05
YBR288C	3.62777E-06	3.39016E-06	3.94815E-06	4.52985E-06	3.32914E-06	3.59289E-06	3.23748E-06	3.03456E-06	3.53193E-06	3.69654E-06
YBR291C	4.72748E-05	5.45381E-05	6.15297E-05	5.91201E-05	6.64724E-05	8.70432E-05	7.81826E-05	0.000115329	7.20428E-05	5.61539E-05
YCL001W	1.1978E-05	2.38299E-05	0	2.56694E-05	2.52684E-05	2.40086E-05	2.50547E-05	2.1396E-05	3.34673E-05	2.54424E-05
YCL009C	0.000662065	0.000625795	0.000568227	0.00037138	0.000713334	0.000658898	0.000474835	0.000595227	0.000497177	0.00043395
YCL011C	3.29642E-06	3.65334E-06	4.85516E-06	6.65278E-06	4.05462E-06	3.90667E-06	4.11164E-06	3.30783E-06	3.18639E-06	3.29922E-06
YCL016C	6.98864E-06	8.65557E-06	1.07464E-05	1.44855E-05	9.71562E-06	8.3776E-06	5.08384E-06	0	5.666E-06	6.68911E-06
YCL017C	2.49989E-05	2.84588E-05	2.96732E-05	2.75632E-05	2.58124E-05	2.48273E-05	2.6017E-05	2.46877E-05	2.95414E-05	3.54604E-05
YCL018W	0.000777363	0.000816199	0.000915044	0.000924363	0.000794836	0.000875662	0.000890222	0.000853265	0.000958184	0.001100387
YCL026C-B	9.65432E-05	0.00017182	0.000134808	0.000145928	0.00021108	0.000294587	0.000696844	9.0719E-05	9.04912E-05	0.00015089
YCL028W	4.1614E-05	4.04625E-05	3.68249E-05	4.15554E-05	5.03699E-05	4.50433E-05	5.03173E-05	5.00861E-05	5.78963E-05	4.69806E-05
YCL029C	0	0	0	0	0	0	0	0	0	0
YCL030C	0.000465992	0.000373842	0.000582343	0.000529016	0.000438933	0.00044083	0.000430216	0.000444524	0.000418842	0.000831442
YCL031C	4.70545E-06	3.97154E-06	3.9541E-06	4.91164E-06	4.27537E-06	4.3667E-06	4.41303E-06	4.8662E-06	5.09179E-06	3.74148E-06
YCL035C	0.00029557	0.000280401	0.000228383	0.000355687	0.00028007	0.000270458	0.000270433	0.000367822	0.000417104	0.000357422
YCL037C	4.10276E-05	3.42633E-05	4.66438E-05	8.13288E-05	4.93029E-05	5.02137E-05	4.94483E-05	5.56994E-05	5.20582E-05	7.04871E-05
YCL039W	3.72578E-06	1.70842E-06	2.20259E-06	2.63383E-06	1.23933E-06	0	3.69504E-06	4.29076E-06	4.09582E-06	1.77531E-06
YCL040W	0.000978867	0.000730643	0.000721233	0.001005688	0.000962227	0.001004319	0.000969098	0.00123948	0.001181797	0.000743656
YCL043C	0.000622469	0.000510496	0.000629622	0.000904251	0.000622842	0.000633945	0.0006607	0.00062882	0.00074846	0.001091197
YCL044C	0	0	0	0	0	0	0	0	0	0
YCL045C	5.23176E-05	6.10012E-05	5.51893E-05	6.01824E-05	5.05244E-05	5.0414E-05	4.49917E-05	5.43131E-05	5.7951E-05	5.22247E-05
YCL047C	2.41922E-05	2.85249E-05	1.97016E-05	2.53761E-05	3.81523E-05	3.83984E-05	5.11211E-05	2.58336E-05	2.92068E-05	3.57083E-05
YCL050C	7.13161E-05	7.29015E-05	7.68308E-05	8.80371E-05	8.40343E-05	7.6905E-05	8.09167E-05	9.14614E-05	9.67427E-05	0.000116636
YCL052C	8.96995E-06	2.49205E-05	0	1.10492E-05	0	1.9983E-05	1.28706E-05	1.64963E-05	9.65705E-06	2.1628E-05
YCL057W	3.7314E-05	3.80156E-05	4.7335E-05	5.45827E-05	3.57897E-05	3.83868E-05	4.36287E-05	3.02241E-05	2.84297E-05	2.20497E-05
YCL059C	7.17614E-06	5.45925E-06	6.70469E-06	7.77491E-06	7.63799E-06	7.0527E-06	7.40586E-06	7.43048E-06	6.44227E-06	7.29801E-06
YCR002C	0.00017476	0.000169452	0.000170772	0.000158927	0.000181365	0.000164211	0.000161686	0.000148683	0.000118923	4.45342E-05
YCR004C	0.000222546	0.000189192	0.000165999	0.000164464	0.000224309	0.000208734	0.000174361	0.000249869	0.000345357	0.000192371
YCR009C	6.90297E-05	7.04591E-05	5.87371E-05	6.2962E-05	6.72452E-05	6.62992E-05	5.384E-05	7.19471E-05	6.57543E-05	4.15136E-05
YCR011C	1.68879E-05	2.20839E-05	1.56574E-05	1.194E-05	1.31079E-05	1.31107E-05	1.03271E-05	1.37974E-05	1.38426E-05	1.28109E-05
YCR012W	0.012035377	0.007757847	0.005641274	0.007327131	0.011225812	0.011488518	0.011008155	0.013431436	0.011939271	0.016276339
YCR015C	1.04969E-06	8.08787E-07	6.94527E-07	0	7.14897E-07	1.21017E-06	4.74896E-07	9.57734E-07	7.33012E-07	8.14919E-07
YCR016W	2.86086E-05	1.84184E-05	1.99296E-05	1.99501E-05	2.34443E-05	2.14416E-05	1.64883E-05	1.78638E-05	1.76107E-05	1.78876E-05
YCR019W	0	0	0	0	0	0	0	0	0	0
YCR021C	0	0	0	0	0	0	0	0	0	1.5931E-05
YCR024C	0	0	0	0	0	0	0	0	0	0
YCR028C-A	0.000562568	0.000644796	0.000477134	0.000345882	0.000602548	0.000560806	0.000563781	0.000525547	0.000536138	0.000339425
YCR030C	6.13404E-05	7.39586E-05	7.48208E-05	8.93836E-05	5.47833E-05	5.29051E-05	4.76717E-05	5.99851E-05	7.37193E-05	6.45958E-05
YCR035C	4.1782E-06	3.46575E-06	3.83115E-06	4.36828E-06	3.22274E-06	4.11109E-06	3.50751E-06	3.11E-06	3.33322E-06	2.84999E-06
YCR046C	0.000125296	0.000105307	0.000181266	0.000130277	0.000118097	0.000129812	0.000114514	0.000103328	0.000109941	0.000125928
YCR051W	0	0	0	0	0	0	0	0	0	0
YCR052W	6.99344E-06	0	7.75326E-06	9.6677E-06	1.10581E-05	8.21066E-06	7.77629E-06	5.96154E-06	6.75184E-06	7.47289E-06
YCR053W	0.000667454	0.000573175	0.000513834	0.000501792	0.000670426	0.000679167	0.000690517	0.000648521	0.00065194	0.000619989
