genes	REF	EtOG_20	EtOH_40	EtOH_60	Osm_02	Osm_04	Osm_06	HiT_33	HiT_36	HiT_38
YAL003W	0.002730328	0.002867828	0.002614621	0.002305591	0.002965196	0.002895396	0.00308363	0.002961774	0.003033987	0.002917051
YAL007C	5.4681E-05	6.44873E-05	5.94881E-05	7.65454E-05	6.43639E-05	6.34477E-05	6.25114E-05	5.75945E-05	4.21516E-05	4.56858E-05
YAL012W	0.000812018	0.000794433	0.000858164	0.001257573	0.000936232	0.000960426	0.001212185	0.001012844	0.00086983	0.001201835
YAL014C	6.94982E-06	0	6.10572E-06	8.08055E-06	0	0	0	6.91302E-06	0	9.75803E-06
YAL016W	5.20222E-05	4.05929E-05	4.5632E-05	5.24014E-05	5.34552E-05	5.03438E-05	4.97044E-05	5.0552E-05	5.71237E-05	3.98338E-05
YAL021C	3.67285E-05	4.02619E-05	2.95284E-05	2.72912E-05	3.32833E-05	3.24231E-05	3.43957E-05	3.29328E-05	3.16892E-05	3.07525E-05
YAL025C	2.93353E-05	2.44748E-05	2.83394E-05	2.73202E-05	3.45761E-05	3.29299E-05	3.75787E-05	3.40522E-05	3.78909E-05	2.54554E-05
YAL033W	0	0	7.59795E-06	0	0	0	0	0	2.77885E-05	4.98733E-06
YAL035W	2.55361E-05	2.32131E-05	2.37336E-05	2.79685E-05	2.57167E-05	2.83606E-05	3.05487E-05	2.3537E-05	2.71799E-05	3.87512E-05
YAL036C	1.71393E-05	1.79178E-05	1.63342E-05	1.22574E-05	2.05999E-05	2.44232E-05	2.87182E-05	2.16195E-05	2.34299E-05	2.38051E-05
YAL038W	0.001385462	0.001260076	0.000676806	0.0010278	0.001543165	0.001598835	0.001556744	0.001562906	0.001603849	0.003126134
YAL041W	0	3.4299E-06	3.81786E-06	4.87238E-06	0	3.25289E-06	2.55793E-06	3.04568E-06	3.4009E-06	3.13166E-06
YAL042W	1.83443E-05	1.55773E-05	1.78875E-05	1.87513E-05	1.99417E-05	1.84145E-05	1.67074E-05	1.53442E-05	1.3229E-05	1.34834E-05
YAL044C	0.000365798	0.000473609	0.00041923	0.000258356	0.000306223	0.00028689	0.000220756	0.000331036	0.000329284	0.00019213
YAL049C	0.000191244	0.000253948	0.000182984	0.000158493	0.000164087	0.000156935	0.000118129	0.000240476	0.000278386	0.000195914
YAL059W	9.17056E-06	8.32278E-06	6.1674E-06	5.69548E-06	9.52203E-06	8.71159E-06	8.13637E-06	1.09651E-05	9.48676E-06	6.65035E-06
YAL060W	9.73293E-05	2.91704E-05	1.96918E-05	1.47891E-05	9.47016E-05	0.000102472	0.00013799	0.000134437	0.000181108	0.000263204
