T_1,T_2
P32449,28.3333333333333
P14843,25
P40825,45
P26785,32.3333333333333
P26784,27.3333333333333
Q07653,42
P38249,32.6666666666667
P25087,52
P17967,37.3333333333333
Q12118,38.3333333333333
P05759,42
P0CH09 P0CH08,32.3333333333333
Q05911,38.6666666666667
Q05506,40.6666666666667
P38714,1.33333333333333
P38972,37.6666666666667
Q03690,43
P25443,42.6666666666667
P32316,40
P05755,37.6666666666667
P04801,37.6666666666667
P34760,40.6666666666667
Q04120,7.33333333333333
P38695,14.6666666666667
P23585,8.33333333333333
P08536,39.6666666666667
P06634,29
P24784,5.33333333333333
P0CX40 P0CX39,41.3333333333333
P00931,48.3333333333333
Q01855,38.3333333333333
P08566,32.3333333333333
P0CX52 P0CX51,39
P36060,37.3333333333333
P07281,39.3333333333333
P07280,39.3333333333333
P48589,38.6666666666667
P80210,38.6666666666667
P40510,20
P40054,20.3333333333333
P00175,45.3333333333333
P0CX56 P0CX55,36.6666666666667
P53221,35.6666666666667
P05743,35.3333333333333
P0CX24 P0CX23,39.6666666666667
P0CX31 P0CX32,38
P28240,45
P15891,35.3333333333333
Q06151,17.6666666666667
Q12123,16
P38701,37.6666666666667
P19262,32.6666666666667
P41338,33.3333333333333
P32419,36
P00927,34.3333333333333
P30902,33.3333333333333
P43616,31.6666666666667
P07264,33.6666666666667
P04456,37.3333333333333
P27616,36
P05740,38
P46990,35.6666666666667
P38158,12.3333333333333
P53312,36.6666666666667
Q03104,39.6666666666667
P38427,24.3333333333333
P38426,6.33333333333333
Q00711,31.6666666666667
P47052,4.66666666666667
P28834,28.3333333333333
P17536,31.3333333333333
P50095,29.6666666666667
P50094,14.3333333333333
P0C0W1,36.6666666666667
P53598,38.6666666666667
P16120,35.6666666666667
P41805,34.6666666666667
P33299,18
P18759,6.33333333333333
P52917,4
P32471,32.6666666666667
P53090,35
P09436,30.3333333333333
P07702,35
P14065,26.3333333333333
Q12458,10.3333333333333
P39522,32
P02294,33.3333333333333
P02293,29.3333333333333
Q08745,29.6666666666667
P46784,25.6666666666667
Q05050,33.3333333333333
P21576,29.3333333333333
Q12428,32
P15180,35.6666666666667
P07213,31.6666666666667
P32861,29.6666666666667
P46672,27.6666666666667
P53278,34
Q08911,35
P38891,21.6666666666667
P47176,14.3333333333333
P40212,30.6666666666667
Q12690,26.3333333333333
P13188,22.6666666666667
P32340,32
P38764,30.6666666666667
P40069,33.3333333333333
P00724,9
Q08245,30.6666666666667
P12695,26.3333333333333
Q07551,32.3333333333333
P41911,9
P25294,27.3333333333333
P33330,30
P32527,29
P10964,16.6666666666667
P04050,12.3333333333333
P38999,30.6666666666667
P06367,28.6666666666667
P39516,28.6666666666667
Q12363,31.3333333333333
P23542,32.6666666666667
P35719,29.6666666666667
P38625,32.3333333333333
P40024,28.6666666666667
P40215,33.3333333333333
P13711,29
P41940,26.6666666666667
P47143,34.6666666666667
P00445,31.3333333333333
P0C2H6,33.3333333333333
P25491,26
P16387,29.3333333333333
P40495,32.3333333333333
P51401,28.6666666666667
P05738,27
P46654,31.6666666666667
P32905,31.6666666666667
P38968,25.6666666666667
P38998,28.6666666666667
P02407,33.6666666666667
P08417,27.6666666666667
P39730,26.3333333333333
P22203,26.3333333333333
P49167,29.6666666666667
P40531,28
P23641,26
P38077,30.3333333333333
P39076,25
P13663,34
P07284,23.3333333333333
P54838,24.3333333333333
P07263,27
P07278,25.3333333333333
P37012,20.3333333333333
P33401,2.33333333333333
P38115,25.3333333333333
P38910,22.6666666666667
P15625,22.6666666666667
P53622,24.6666666666667
P10080,26.3333333333333
P09457,25.3333333333333
P11986,27
P02406,26.3333333333333
P38219,24.3333333333333
P15303,25
Q03048,25
P41811,25
P07246,20.6666666666667
P21264,25.3333333333333
P38708,27.3333333333333
P49367,28
Q3E757,25.3333333333333
P02992,26.6666666666667
P00427,22.3333333333333
P05626,23
P38988,18.6666666666667
P25343,7
P32476,29.6666666666667
P36013,22.3333333333333
P22855,29
P08524,28
P0CX85 P0CX84,26.6666666666667
P32473,22.6666666666667
P02557,23
Q00764,23
Q02753,22
Q12672,20.3333333333333
P38061,24.3333333333333
P38013,25.6666666666667
P0C2H8,25.6666666666667
P0C2H9,24.3333333333333
P32558,22
P39958,20.6666666666667
P33297,19.6666666666667
Q02486,21.6666666666667
Q01532,24.3333333333333
P16603,19.6666666666667
P23638,22.3333333333333
P15202,31
P54839,28.3333333333333
P06738,25.6666666666667
P47068,23.3333333333333
P32796,25
P0CX49 P0CX50,24
P10869,24
P39518,23.6666666666667
P38879,22.3333333333333
P07260,21
P06103,20.3333333333333
P00899,25.6666666666667
P07283,26.3333333333333
P02309,25
P28274,14.6666666666667
P38627,6.33333333333333
P29952,24.6666666666667
P05756,23.6666666666667
P04449,19.3333333333333
P24000,17.3333333333333
O14467,20.3333333333333
P05453,20.3333333333333
P40961,19
P00424,20.6666666666667
P01120,18.3333333333333
P01119,2
Q07478,22.3333333333333
Q06440,19
P15703,18
Q12305,24.3333333333333
Q04728,24.3333333333333
P12612,22.6666666666667
P34227,17.3333333333333
P38707,22
P36112,23
P47117,17.3333333333333
P0CX48 P0CX47,22
P39935,15
P39936,3
P31688,21.6666666666667
P14742,21
P15646,21
P33734,22
P18544,27.3333333333333
P38631,16.3333333333333
P40989,13.6666666666667
P21801,19.6666666666667
Q05016,21.3333333333333
Q12329,23.3333333333333
P21826,6
P05744,17.6666666666667
P41056,15.6666666666667
Q3E7X9,20
P0C0X0,16
P36775,14.6666666666667
P01123,13.3333333333333
P07560,7.33333333333333
Q99260,2.33333333333333
P36105,23.6666666666667
Q12074,22
P07991,26
Q05022,23.6666666666667
P00128,20
P33327,24
P38113,15.6666666666667
P54885,19.3333333333333
P37302,21.3333333333333
P34216,14.6666666666667
Q03161,21.3333333333333
P33322,19
P32074,18
P32377,18
P32565,17.6666666666667
P25605,20.3333333333333
Q12335,18.6666666666667
P05319,18.6666666666667
P28241,16.3333333333333
P04076,27.6666666666667
P32799,15.3333333333333
Q12464,20.6666666666667
P00044,18.6666666666667
P00045,5.33333333333333
P36010,17.6666666666667
P27476,20
P47079,21.3333333333333
P39077,18.3333333333333
Q04894,18.6666666666667
Q12447,16.3333333333333
P09232,17.6666666666667
P53839,19.3333333333333
P12385,15.3333333333333
Q02642,17.6666666666667
Q03940,18
P43567,18.6666666666667
O14455,22
P05745,21.3333333333333
P0CX53 P0CX54,19
P14306,22
P32497,15.3333333333333
P02400,16.6666666666667
P04911,18.3333333333333
P06101,16.6666666666667
Q04697,16
P46680,16.3333333333333
P35691,17
P43593,15
P08067,16.3333333333333
P25623,20.3333333333333
Q04869,21
P10614,14
P40017,16
P04037,14.3333333333333
P0C0T4,17.3333333333333
Q3E792,17.3333333333333
P41277,11
P40106,5
P43588,16.3333333333333
Q01852,15.3333333333333
P39683,15.6666666666667
Q05775,14.6666666666667
P00447,16.6666666666667
P39078,18.6666666666667
Q08972,13.3333333333333
P48015,19.3333333333333
P05150,20.3333333333333
P32775,17
P29509,15.6666666666667
P38816,3
Q12031,16.3333333333333
Q04178,15
P39938,16
P39939,12.3333333333333
P32381,16
P32614,11.3333333333333
P32891,15
P07275,15
P32521,15.3333333333333
P36421,14.6666666666667
P0CX44 P0CX43,19
P07143,16.3333333333333
P40159,14
P54861,17
P09733,12.3333333333333
P09734,9
P09064,13.3333333333333
P32481,16.6666666666667
P14904,18
P32445,16
Q03102,14
P00498,16.3333333333333
P32499,13.3333333333333
Q08412,14.6666666666667
P0CT04,15.6666666666667
P40217,15.3333333333333
P32496,14.3333333333333
P21243,13.6666666666667
Q04062,14.6666666666667
P27472,10
P23337,7.33333333333333
P23639,16.6666666666667
P24276,15.3333333333333
P20459,15.3333333333333
P14020,12.3333333333333
P39940,13
P38137,14
P0CX42 P0CX41,17
P40327,14.6666666666667
P15624,13.6666666666667
P40364,12.3333333333333
Q01560,14.6666666666667
Q08977,14
P33303,18.3333333333333
P40016,11.3333333333333
P38715,12.3333333333333
Q04636,14.6666666666667
P28777,14
P07267,14.6666666666667
P32468,15.3333333333333
P53235,12.3333333333333
P23180,11.6666666666667
Q04947,16
P20449,16.6666666666667
Q02196,15
P40582,16.6666666666667
P32835,15
P32836,13.3333333333333
P40008,18
P00958,11.3333333333333
Q03195,13.6666666666667
P41810,15
P25349,14.6666666666667
P40482,10.3333333333333
P00937,15.3333333333333
P43603,13
P32793,5
P36035,16.6666666666667
P39986,10.3333333333333
P36114,12.6666666666667
Q04067,12.3333333333333
P39714,11.3333333333333
P49334,13
P53297,13.6666666666667
P40413,11
P38911,10
Q06205,5
P06787,10.6666666666667
P16649,11
P25567,11.6666666666667
P30657,10.3333333333333
P38523,11.6666666666667
P35844,15.3333333333333
P32867,9.66666666666667
P39926,8.33333333333333
P38075,13
P35732,10.3333333333333
P40053,15.6666666666667
P50085,12.6666666666667
P31787,19
P25342,15.6666666666667
P52893,11.6666666666667
P35197,13.6666666666667
P32599,13.3333333333333
P07274,13.6666666666667
Q04013,11
Q12265,13.3333333333333
Q04344,16.6666666666667
P11076,11
P19146,10
P32368,9.33333333333333
P17649,12.6666666666667
Q12154,11.6666666666667
P40302,14.6666666666667
P25375,12
P39079,13.3333333333333
Q06625,11.6666666666667
Q02932,1
P16451,12.6666666666667
P32288,11.3333333333333
P00431,12.3333333333333
P38626,11.6666666666667
Q12377,12
P47096,14
P32379,12.6666666666667
P01097,11.3333333333333
P17555,15.3333333333333
P47018,8.66666666666667
P53852,14
P48510,13
P25719,15
P08518,10.6666666666667
P24280,13.6666666666667
P23291,7.33333333333333
P29295,4
P39962,1.33333333333333
P81449,12.3333333333333
P33399,11
P05373,11
P32563,12.3333333333333
Q06142,10.6666666666667
P23724,12.6666666666667
P50861,8.33333333333333
P36139,16.6666666666667
P07172,14.3333333333333
P27692,13
P27796,12
Q12449,11.6666666666667
P21524,12.3333333333333
P81451,12.6666666666667
Q96VH4,7
P38555,9
P51996,8.33333333333333
Q02821,10.6666666666667
P41921,10.3333333333333
Q04336,10.3333333333333
P04046,9.66666666666667
Q12480,13
P33338,11
P40303,11.3333333333333
Q03973,9
P05749,12
P56628,4.66666666666667
Q04458,9.33333333333333
P22336,9.66666666666667
P0CX29 P0CX30,13.3333333333333
Q08971,10.6666666666667
P41903,9.66666666666667
P49095,18.3333333333333
P40893,12.3333333333333
P53303,9
Q12513,12.6666666666667
P25613,6.66666666666667
P32907,10
P23776,11
P38886,12
P42940,9.66666666666667
P41920,9.66666666666667
Q06494,11.6666666666667
P22141,9.66666666666667
P36015,9.66666666666667
P36148,11.3333333333333
Q12068,8
P23644,9.33333333333333
P07703,10
P18562,9
P22146,10
P34221,8.66666666666667
P39966,5.66666666666667
Q05905,11
Q06505,8.33333333333333
Q12434,9.33333333333333
P53172,12
P38687,11.3333333333333
P12683,11.6666666666667
P12684,1.33333333333333
P40075,7.66666666666667
P40513,8
P20081,13.3333333333333
P07277,9.33333333333333
P01098,15.6666666666667
Q06103,10.6666666666667
Q08179,13.6666666666667
P21965,9.66666666666667
Q04491,9
P34223,7.66666666666667
Q08822,14.6666666666667
Q12518,5
Q05785,4.66666666666667
P15454,13.3333333333333
P41807,7.66666666666667
P54783,10.6666666666667
P35176,8.66666666666667
P40518,8.33333333333333
P40850,7
P27614,7.33333333333333
P38230,11
P36046,8
P53731,8.66666666666667
P32598,8.33333333333333
P26570,2.33333333333333
P39101,11.3333333333333
P21242,7
P21147,8.66666666666667
P21306,9.66666666666667
P36136,9.66666666666667
P53163,9.66666666666667
P43621,10
P25631,13
P32902,8.33333333333333
P38858,14.3333333333333
P32843,12
P32790,9.66666666666667
Q3E841,10.3333333333333
Q12189,8.33333333333333
P32602,10.3333333333333
P32610,10
P06115,4.66666666666667
P32179,10.6666666666667
Q08686,10.3333333333333
P20606,7
P21734,8.33333333333333
P38199,8.66666666666667
Q04225,9
P11353,2
Q04660,11
Q02046,8.33333333333333
P40185,10.6666666666667
P38996,8.33333333333333
P25367,9
P47039,11
P32895,8.33333333333333
P53600,6.33333333333333
P33331,10
P53885,8
P00546,5.66666666666667
P17157,3
P40010,9
P11914,9
P17891,8.66666666666667
P40506,5.66666666666667
Q06405,10.3333333333333
Q03976,7
Q12109,6.33333333333333
P38755,8.33333333333333
Q02201,2.66666666666667
P47120,10.6666666666667
P17423,9.33333333333333
P40029,11
P21560,7
P35191,8.66666666666667
P38295,10.3333333333333
P38260,9
P36049,8
P53834,7.66666666666667
P25369,8
P38845,9
P39968,5.66666666666667
P14906,7
Q08225,9.33333333333333
P38250,8
P81450,9
P13298,10
P61830,10.3333333333333
P40414,3.66666666666667
P32588,8.66666666666667
P32458,8
P53141,9.33333333333333
Q08220,9.66666666666667
P13517,7.33333333333333
P38836,6.33333333333333
P22803,5.66666666666667
P22217,4.66666666666667
P29704,8
P87262,9
Q12285,7.33333333333333
P33204,5.33333333333333
P38264,7.33333333333333
Q12117,3.66666666666667
P38079,4.66666666666667
P39726,10
P41058,8
P41057,6.66666666666667
P36041,4.66666666666667
P40991,7.66666666666667
P40580,9
Q04599,6.33333333333333
Q03532,8
P38804,5.66666666666667
P25039,7
P15496,11
P14164,7
P19955,7.33333333333333
P16622,8.66666666666667
P38152,7.33333333333333
P38314,9.33333333333333
P38081,9.33333333333333
P30665,1.66666666666667
P47160,8.66666666666667
Q07825,9
P10963,5.33333333333333
Q07500,10.6666666666667
Q12515,8
P50109,8.33333333333333
P32356,4.33333333333333
P35172,2.66666666666667
P12945,8.33333333333333
P22133,10
P30656,7.33333333333333
P38345,8.33333333333333
P14922,4.33333333333333
Q04371,4.66666666666667
P12688,6.66666666666667
P18961,3.66666666666667
P06244,4.66666666666667
P06245,3.33333333333333
P33775,6.33333333333333
P43609,6.33333333333333
P40957,1.33333333333333
P53250,5.66666666666667
Q05979,3.66666666666667
P53199,5.66666666666667
Q06177,11
P11938,7
P32335,9.33333333333333
P54781,7.33333333333333
P38791,6
P32860,7.66666666666667
P52286,7.33333333333333
P38248,7.33333333333333
P35180,5
P22147,5.66666666666667
P40087,6
Q02776,8.66666666666667
P51402,7.33333333333333
Q12402,7.33333333333333
Q12306,6.66666666666667
P22213,9
P50107,5
P30822,6
P43535,8.33333333333333
P10662,7.66666666666667
P32628,7
P33767,7.33333333333333
P32795,4
P22354,4.66666666666667
P41814,2
P37299,6.66666666666667
P38325,8.33333333333333
P11632,6
P36521,6.66666666666667
P40040,6.33333333333333
P12687,5.66666666666667
Q03028,4.33333333333333
P20424,6.33333333333333
Q01080,6.66666666666667
P40037,7.33333333333333
P12686,7
P25293,8.33333333333333
P32642,3
Q10740,6.66666666666667
P40496,7
P43598,5.33333333333333
P38795,8
Q99258,7
Q3E764,7.33333333333333
P22696,6.33333333333333
Q12466,7.33333333333333
P38817,8
Q05933,5.66666666666667
P16550,5.33333333333333
Q12250,7
P40093,7
P43590,7.33333333333333
P38840,11.3333333333333
P32898,7
P15873,6
P28321,6.33333333333333
A5Z2X5,6
P11745,8
P53044,7
Q12032,9
Q03559,6.66666666666667
P32469,7
P37262,3.33333333333333
P50278,1.66666666666667
P48362,4.66666666666667
Q06146,6.66666666666667
P35723,5.33333333333333
P03962,7
Q04432,7
Q06489,5.66666666666667
P38741,7.66666666666667
P47137,7
P25373,7.33333333333333
P47165,6.33333333333333
Q12462,5.66666666666667
P32787,8
P40477,5.33333333333333
P38779,4
P80967,5.33333333333333
P41818,6.66666666666667
P38922,4.33333333333333
P40485,4.66666666666667
P36016,4.66666666666667
P53128,5.33333333333333
Q06178,2.33333333333333
P32264,6
Q02785,2.33333333333333
P32568,0.666666666666667
O13563,5.66666666666667
P32643,10.3333333333333
P46683,3.66666666666667
O74700,4.66666666666667
P33201,5.66666666666667
P21538,7.33333333333333
P36017,5
P34217,4
Q07589,5.33333333333333
Q03862,6.66666666666667
Q07505,5.33333333333333
P53551,7.33333333333333
P28707,7
Q03640,7.33333333333333
P40515,5.66666666666667
P23615,6.33333333333333
P53081,7.66666666666667
P38328,5.33333333333333
P38221,3.66666666666667
Q04439,6.33333333333333
Q99287,5.33333333333333
Q03088,7
Q06892,7
Q05515,5.66666666666667
Q07657,6.66666666666667
Q12233,7
Q01976,6.66666666666667
P32566,5.33333333333333
P36534,5.66666666666667
P51998,4.33333333333333
P38205,4
P53633,4.66666666666667
Q12522,5
P15424,5.66666666666667
P39517,5.33333333333333
Q06678,5
Q12754,6.33333333333333
P53879,5
P32771,4
Q08202,4
P49435,7.33333333333333
Q99383,3.66666666666667
P25043,5.33333333333333
Q08208,5.33333333333333
P20435,4.66666666666667
P38197,3.33333333333333
P38821,7.66666666666667
P53981,8.33333333333333
Q08818,5
P47035,4.33333333333333
P38333,5.33333333333333
Q12034,4.66666666666667
P28273,5.33333333333333
Q12349,5.66666666666667
P28000,4.33333333333333
Q05788,4.33333333333333
Q05567,6.66666666666667
Q05812,5.33333333333333
Q08438,1
P36024,2.33333333333333
Q12314,6.33333333333333
P43123,4
P25045,5.33333333333333
P19454,5.66666666666667
P53130,4.66666666666667
P07273,4.66666666666667
P37298,4
Q00245,5.33333333333333
P01094,6.33333333333333
P24521,8
P46151,4.66666666666667
P05318,5.33333333333333
P48837,5.66666666666667
P38912,4.33333333333333
P20447,4.33333333333333
P43619,4.66666666666667
Q04438,6.33333333333333
P38174,5.66666666666667
P07285,7.66666666666667
P43594,5.33333333333333
P12754,5
Q01163,6.33333333333333
P38145,7.33333333333333
Q12451,3.66666666666667
Q05926,4.33333333333333
P53326,5.33333333333333
P41543,4.66666666666667
P36150,7.33333333333333
P32342,5
P53075,5
Q12443,5.66666666666667
Q08969,9.66666666666667
P36516,5.66666666666667
Q08962,5.66666666666667
Q04792,6
Q01477,3.33333333333333
P38067,4
P53066,3.66666666666667
Q12100,4.33333333333333
P38809,5.33333333333333
P31384,4.66666666666667
P53101,8.66666666666667
P32463,5.66666666666667
P38167,7.33333333333333
P53925,4.33333333333333
P38828,5.33333333333333
P32911,5.33333333333333
P39979,4.33333333333333
P40348,4
P38351,4.33333333333333
P43569,7
Q12298,5.66666666666667
P25655,3
P26755,4.66666666666667
Q02784,5
P50263,10.3333333333333
P28272,6.33333333333333
P87108,4.66666666666667
P0CX28 P0CX27,5
Q04935,4.66666666666667
Q02892,4
P32495,4.66666666666667
P53875,4.33333333333333
P39705,2.33333333333333
P27809,4.66666666666667
Q04305,5
P38439,2.33333333333333
P53316,4.33333333333333
P52490,4
Q08968,4.66666666666667
P38234,3.33333333333333
P53131,5
P34160,4
P46669,4.33333333333333
Q12452,2.66666666666667
P48606,5.33333333333333
Q08742,5
Q03769,5.33333333333333
P33317,3.33333333333333
P45978,4.66666666666667
P22211,4.66666666666667
P43555,3
P32332,4.33333333333333
P37370,4.66666666666667
P32353,5.33333333333333
Q06523,5.33333333333333
P53295,4.33333333333333
Q06706,2.66666666666667
P36059,5
P25632,5
P25340,2.66666666666667
P40483,2.66666666666667
P47154,2.66666666666667
P47119,3.66666666666667
P34231,6.33333333333333
P40509,3.66666666666667
P52488,4.33333333333333
Q12497,5.66666666666667
P69771,5.33333333333333
P37267,4.66666666666667
P16965,6.66666666666667
P04039,3.33333333333333
P06780,3.33333333333333
P11075,4.33333333333333
Q06338,3
P47017,5
Q12406,5.33333333333333
P32337,3.33333333333333
P32831,3.33333333333333
Q12029,2.66666666666667
P50101,3.66666666666667
Q05029,3.66666666666667
P39990,4.66666666666667
Q03761,4.33333333333333
Q06143,4.33333333333333
Q07629,5.66666666666667
Q12211,6.33333333333333
P23595,5
P23594,1.66666666666667
P38169,2.66666666666667
P47044,3.33333333333333
P40202,3.66666666666667
P32915,4.33333333333333
Q6Q547,3.66666666666667
P07255,4
P47085,4.66666666666667
P32769,3.33333333333333
P53261,4.33333333333333
Q07938,5
P09201,6
P39729,3.66666666666667
P25348,4.66666666666667
P40463,3.66666666666667
P54000,2.66666666666667
P07347,3.66666666666667
P40553,3.66666666666667
P32331,4.33333333333333
P53903,4
Q06336,5.33333333333333
P32904,5.33333333333333
P42938,5.33333333333333
P22139,4
P38144,7
P52553,2.33333333333333
P40032,5
P07253,3.66666666666667
P21827,4.66666666666667
P20486,2.66666666666667
P32604,3.33333333333333
P40341,2.33333333333333
P39925,2
P38810,3.33333333333333
P57744,3.66666666666667
P32897,4.33333333333333
P32263,2.66666666666667
P47122,3.33333333333333
P41895,2.66666666666667
Q6Q560,4
P48363,3.66666666666667
P32573,4.66666666666667
P00729,5.33333333333333
P43585,3.66666666666667
P47150,3
P42942,3.66666666666667
P38841,3.33333333333333
Q02204,5.33333333333333
Q06608,3.66666666666667
P53292,2.66666666666667
P38737,2.66666666666667
Q06449,3.33333333333333
Q08601,2
P08525,3.66666666666667
P38787,3.66666666666667
P39929,2.66666666666667
Q04119,2.66666666666667
P06782,4.33333333333333
Q06679,2.33333333333333
P32472,6.33333333333333
P32451,3.66666666666667
P38629,4.33333333333333
P40165,2.66666666666667
P32939,3.33333333333333
P39111,3.66666666666667
Q12024,3.66666666666667
Q12191,3.66666666666667
P40535,6
Q01519,2.33333333333333
Q06685,3.33333333333333
Q12496,3
P50896,4.33333333333333
P31383,4.33333333333333
P49687,3.33333333333333
P33333,1.66666666666667
P42846,3.33333333333333
P47075,3.66666666666667
Q02950,3
P23202,2.66666666666667
P30771,4.66666666666667
P36101,2.33333333333333
P20433,3
P20436,3.33333333333333
P16370,3.33333333333333
P21771,2.33333333333333
P05374,3
Q03799,3.66666666666667
P32485,3
P53550,2.66666666666667
P53615,5.66666666666667
Q12532,4
P31382,3.33333333333333
P47127,3.33333333333333
Q07914,4
P10622,3
P38765,6
P53724,3.33333333333333
P26754,2.33333333333333
P35845,3.33333333333333
Q12355,4
P46969,4.33333333333333
P38698,5.33333333333333
P47031,3.33333333333333
P40561,2.33333333333333
P06102,3
P40019,3.33333333333333
Q05359,2.66666666666667
P21304,2.33333333333333
Q01662,4.33333333333333
Q02630,4.33333333333333
P14747,2
P10174,2.33333333333333
P28007,3
Q03430,3.66666666666667
P53617,4.33333333333333
P38628,3.66666666666667
P25037,3
P53155,4.66666666666667
P36037,4
P38616,4
P25626,2.66666666666667
Q08235,3
P40066,3
Q12030,3
P43582,3
P38129,3.66666666666667
P54003,2.66666666666667
Q12207,3.66666666666667
P22517,2.66666666666667
P52918,3.66666666666667
P28789,3.33333333333333
Q99297,3.33333333333333
Q03629,4.66666666666667
P32909,3
P40433,2.66666666666667
P15274,2.33333333333333
P22353,2.33333333333333
Q07651,4
P36531,4.66666666666667
Q03201,4.33333333333333
P32386,2.33333333333333
Q05123,2.66666666666667
P32366,2.66666666666667
Q12405,3.66666666666667
Q04304,3.66666666666667
P53008,5
Q07623,3.33333333333333
P17106,3
Q04430,3.66666666666667
P43586,1.66666666666667
P38736,2.33333333333333
P47116,2.66666666666667
Q08162,3.66666666666667
Q03246,3
P28319,3
P41734,2.66666666666667
Q00362,4.66666666666667
P32608,3.66666666666667
P10507,4.33333333333333
P36517,2.33333333333333
P28495,2.66666666666667
P36519,4
Q02647,3.66666666666667
P40312,3.33333333333333
P32803,3.33333333333333
P38688,5
P53900,3.33333333333333
Q9P305,3.33333333333333
P32352,2.66666666666667
P32611,3.33333333333333
Q08558,2.66666666666667
P32266,3
P46985,3
P20051,3.33333333333333
P08465,2.33333333333333
Q07979,5.33333333333333
P38120,2.66666666666667
P25296,2
Q99216,3
P20484,2.33333333333333
P38861,2.33333333333333
P23201,3.66666666666667
P53224,1.66666666666667
Q12044,3
P35195,4.66666666666667
P11792,3.33333333333333
P49954,3
P18408,3.66666666666667
P28625,3.33333333333333
Q12743,4.33333333333333
P40043,2.33333333333333
P40188,1
P39931,3
P39960,2.33333333333333
Q07878,3.33333333333333
Q12091,3.33333333333333
P53140,3.33333333333333
P15565,2.66666666666667
P40422,2.66666666666667
P38286,3.33333333333333
P40462,4
P38353,1.33333333333333
P40319,2.66666666666667
Q12018,2.66666666666667
P53206,1.66666666666667
P36520,3
P53152,3
Q03774,2.33333333333333
P38929,2
Q06624,2.66666666666667
Q07362,2
P40070,2.33333333333333
P40564,3.33333333333333
Q08920,2.33333333333333
Q08926,2.66666666666667
P53299,1
P42937,3.33333333333333
P53881,1.33333333333333
P38902,2
Q08689,2.33333333333333
P54837,3
