T_1,T_2
P00359,388.666666666667
P00358,227.333333333333
P00360,116
P46367,399.333333333333
P40047,24.3333333333333
P02994,290
P00560,226
P00924,190.666666666667
P38689,10
P38063,6.33333333333333
P38620,0.666666666666667
P06169,165.666666666667
P26263,40.6666666666667
P02829,165.666666666667
P22202,102.666666666667
P09435,97.6666666666667
P16474,51.3333333333333
Q05931,3.33333333333333
P19097,202.333333333333
P07149,176
P04806,74.3333333333333
P04807,43.6666666666667
P07259,96.3333333333333
P03965,68.3333333333333
P05694,176.333333333333
Q00955,139
P32874,3.33333333333333
P00830,122
P32324,134
Q01574,124
P52910,40.6666666666667
P54115,115.333333333333
P06168,131
Q01454,1.66666666666667
P00549,113.666666666667
P52489,4.66666666666667
P00890,79
P08679,13
P43635,6.66666666666667
P14540,117.333333333333
P19414,86.3333333333333
P39533,30.6666666666667
P32589,94.6666666666667
P32590,36
P16861,58.3333333333333
P16862,38.3333333333333
P16521,112.666666666667
P53978,36.6666666666667
P31539,128
P00950,94.6666666666667
P0CS90,88.3333333333333
P19882,90
P06106,91.6666666666667
P23254,65
P33315,28.6666666666667
P07251,99
P19358,70.3333333333333
P10659,47.3333333333333
P11154,64.3333333333333
P15019,65
P53228,24.3333333333333
P47169,90
P17709,63.3333333333333
Q04409,16.3333333333333
P38009,61.6666666666667
P54113,29.6666666666667
P26786,57
P48164,37.6666666666667
P37291,61.3333333333333
P37292,23.3333333333333
P12709,68
P53252,45
Q12230,39.3333333333333
P41939,51.6666666666667
P21954,32.3333333333333
P53982,14.3333333333333
P07262,60.3333333333333
P29311,56.6666666666667
P34730,54.6666666666667
P17255,81
P38720,58.6666666666667
P53319,29
P07245,55.6666666666667
P09440,15
P14126,81.6666666666667
P15705,70.3333333333333
P23248,60.6666666666667
P33442,62.3333333333333
P38011,76.3333333333333
P15992,89.3333333333333
P25694,72.6666666666667
P05030,52.3333333333333
P19657,45.6666666666667
P00942,63.6666666666667
P33416,59.6666666666667
P33892,11.3333333333333
P20967,63.6666666666667
P29453,60.3333333333333
P17076,55.6666666666667
P07257,61
P04147,67.6666666666667
P14832,52.3333333333333
P53691,16
P00817,63.6666666666667
P04840,61.3333333333333
P31116,58.3333333333333
P60010,60
P0CX35 P0CX36,64.6666666666667
Q02207,67
P10081,57
P23301,56
P22515,55
P36008,31
P29547,30
P04802,57.6666666666667
P09624,60.6666666666667
Q12460,32.3333333333333
Q12499,28.6666666666667
P16140,53.6666666666667
P32191,53
P33298,19.3333333333333
P53549,19
Q01939,15.3333333333333
P18239,55.3333333333333
P04710,9.33333333333333
P39015,50
P30624,34.6666666666667
P47912,22
P39002,1.66666666666667
P49090,28
P49089,29.3333333333333
P19524,9
P00815,54.6666666666667
P07256,52.3333333333333
Q02326,36.6666666666667
P05739,34.6666666666667
Q03558,34
P41816,5.33333333333333
P06208,64
Q12166,17.3333333333333
P26637,38
Q12165,14.6666666666667
P05750,52
P38088,51
P39676,49
P22768,63.6666666666667
P07342,52
P32582,46
P17505,41.3333333333333
P26321,49
P49723,52
P06105,50
P22943,65
P11412,45.6666666666667
P07244,47.6666666666667
P39954,46.6666666666667
P09938,54.6666666666667
P07806,44
P39692,46
P05317,46.3333333333333
P46655,44.6666666666667
P05737,44
Q01217,58.3333333333333
P07170,44.3333333333333
P15700,5.66666666666667
Q12680,37.3333333333333
P0CX46 P0CX45,47.3333333333333
P39976,19.6666666666667
P46681,7
P38934,42.3333333333333
P38788,41
P22137,40
P35189,3.33333333333333
P31373,36
P26783,42.3333333333333
P32454,33
P37898,15
P48570,32.3333333333333
Q12122,30
